,country,year,cause,Deaths,DALYs,Incidence,income_level,income_level_mode,gdp,health_exp
3142,South Africa,2017,Chronic respiratory diseases,49.59960428261535,1457.7342064228944,1183.3008294490598,UM,UM,6618.33508255701,7.97711372
3143,South Africa,2017,Environmental heat and cold exposure,0.8275810772457929,42.22228888748968,38.40716004897,UM,UM,6618.33508255701,7.97711372
3144,South Africa,2018,Cardiovascular diseases,232.96603247589888,5190.21177061965,535.37954891585,UM,UM,6914.1780318076,8.0819664
3145,South Africa,2018,Chronic respiratory diseases,49.319352799252734,1459.066029945751,1315.87796043935,UM,UM,6914.1780318076,8.0819664
3146,South Africa,2018,Environmental heat and cold exposure,0.802500052469986,41.1278423587237,38.42675493355,UM,UM,6914.1780318076,8.0819664
3147,South Africa,2019,Cardiovascular diseases,218.1787892650677,4877.139392692614,531.45019777508,UM,UM,6533.71121032856,8.24652863
3148,South Africa,2019,Chronic respiratory diseases,48.65102641186222,1452.097608621331,1426.49846945701,UM,UM,6533.71121032856,8.24652863
3149,South Africa,2019,Environmental heat and cold exposure,0.775671138232093,40.11930707697799,38.50053064366,UM,UM,6533.71121032856,8.24652863
3150,South Africa,2020,Cardiovascular diseases,200.89456978929485,4494.743516922295,528.44109687018,UM,UM,5580.60383075189,9.02174091
3151,South Africa,2020,Chronic respiratory diseases,37.79814518328571,1235.584623579714,1473.39315015599,UM,UM,5580.60383075189,9.02174091
3152,South Africa,2020,Environmental heat and cold exposure,0.7030641630751803,37.76385028351104,38.58347691197,UM,UM,5580.60383075189,9.02174091
3153,South Africa,2021,Cardiovascular diseases,203.3660360715192,4524.737062591482,526.42963908981,UM,UM,6828.75624590017,8.6645031
3154,South Africa,2021,Chronic respiratory diseases,37.12438134122625,1207.3114477080596,1461.32804813134,UM,UM,6828.75624590017,8.6645031
3155,South Africa,2021,Environmental heat and cold exposure,0.7077520687611176,38.33170559452219,39.10673087659,UM,UM,6828.75624590017,8.6645031
3156,South Africa,2022,Cardiovascular diseases,197.7574520487883,4518.60859082796,525.42820218903,UM,UM,6534.24867783397,8.74512291
3157,South Africa,2022,Chronic respiratory diseases,41.10117431639048,1306.682948956548,1447.24707090973,UM,UM,6534.24867783397,8.74512291
3158,South Africa,2022,Environmental heat and cold exposure,0.7201294786492699,38.54790965379726,39.60230595539,UM,UM,6534.24867783397,8.74512291
3159,South Africa,2023,Cardiovascular diseases,200.2151636199299,4573.478308627856,524.57305727649,UM,UM,6034.27208964673,8.90966797
3160,South Africa,2023,Chronic respiratory diseases,44.30232751198693,1363.6211661173006,1450.12772700283,UM,UM,6034.27208964673,8.90966797
3161,South Africa,2023,Environmental heat and cold exposure,0.7237244630960716,38.46273120477802,39.431705057200006,UM,UM,6034.27208964673,8.90966797
3162,Sri Lanka,1990,Cardiovascular diseases,344.55881945353315,7519.941624209329,663.13888800448,L,LM,491.213686238493,
3163,Sri Lanka,1990,Chronic respiratory diseases,98.379177150635,2242.41576637219,1209.81015110777,L,LM,491.213686238493,
3164,Sri Lanka,1990,Environmental heat and cold exposure,1.4559082420952605,75.01836246449815,85.40150406841,L,LM,491.213686238493,
